Frequency (Hz)	Zre (ohms)	Zim (ohms)	
184.784973144531	1004.30321719051	-84.6947809987915	
171.132827758789	1004.67730066644	-89.4194658115357	
158.489318847656	1002.70618052904	-97.6750310523723	
146.779922485352	1002.06733026494	-102.316579352137	
135.935638427734	1000.17025832967	-113.403625656533	
125.892539978027	1002.98455592596	-121.824691783661	
116.591438293457	1002.44287062196	-133.111029151822	
107.977516174316	1004.2577257752	-141.383962517643	
100	1004.34130053581	-154.604898690425	
92.6118698120117	1003.94221980288	-164.322405807813	
85.7695922851563	1007.15272907122	-179.219452415589	
79.4328231811523	1003.42622978127	-192.684277758906	
73.5642242431641	1009.56051423054	-208.344164592275	
68.1292037963867	1007.82418506898	-221.352804494434	
63.0957336425781	1008.06894496015	-241.086206468687	
58.4341430664063	1008.00104126559	-262.671971688822	
54.1169509887695	1008.60729056534	-282.252213557715	
50.118724822998	1010.59530864996	-304.165514177869	
46.4158897399902	1011.91607049799	-329.276261441977	
42.9866218566895	1010.03921998045	-355.395647337759	
39.810718536377	1019.50372410861	-388.942594285222	
36.8694496154785	1016.98739099673	-421.36318216962	
34.1454887390137	1026.34219211144	-452.205038338946	
31.6227760314941	1023.81245321614	-480.728709939073	
29.2864456176758	1031.69576257188	-526.449147640854	
27.1227264404297	1036.20657511599	-567.994045427338	
25.1188640594482	1039.52743787107	-606.253433205006	
23.2630500793457	1046.78609267538	-661.759009425224	
21.5443477630615	1053.36144695337	-710.420841682278	
19.9526233673096	1062.73242664105	-770.922658109117	
18.4784984588623	1080.31212466499	-840.065436454844	
17.1132831573486	1084.35076521289	-896.102431793155	
15.8489322662354	1096.84829250145	-959.143753144917	
14.6779928207397	1118.14876583426	-1037.68890119098	
13.5935640335083	1131.12880009023	-1120.80787117645	
12.5892543792725	1152.62600995234	-1196.48942804635	
11.6591444015503	1180.04260762316	-1296.50408623964	
10.7977514266968	1206.97978609928	-1394.29217774039	
10	1233.01442550438	-1494.5024264946	
9.26118755340576	1276.26836202382	-1614.7417120298	
8.57695865631104	1314.09455926718	-1724.4877139568	
7.94328212738037	1366.65858871783	-1862.42452710145	
7.35642242431641	1424.48141674323	-2007.34988337708	
6.81292057037354	1493.50308418577	-2149.60394325349	
6.30957365036011	1566.73930002497	-2292.75758489061	
5.84341430664063	1651.55300894113	-2449.37552593232	
5.41169548034668	1749.90208547712	-2616.97872873177	
5.01187229156494	1862.6687350823	-2794.12614630398	
4.64158868789673	1992.25630415867	-2982.47347940649	
4.29866218566895	2129.8838313909	-3164.49651620383	
3.98107171058655	2303.13551206275	-3360.11117144459	
3.68694496154785	2487.53202547292	-3550.58555351033	
3.41454887390137	2691.19836607013	-3749.46066196435	
3.16227769851685	2920.38790553006	-3932.88883030775	
2.92864465713501	3156.74484748276	-4113.32632111751	
2.71227264404297	3433.50158305805	-4287.39611133015	
2.51188635826111	3727.72269939048	-4456.60718325826	
2.32630515098572	4040.98911774219	-4597.26671061053	
2.15443468093872	4374.16146003733	-4730.94764120864	
1.99526226520538	4770.08771007643	-4882.03990145638	
1.84784984588623	5087.09784410798	-4918.9474691751	
1.71132826805115	5463.19032295829	-4975.84194989804	
1.58489322662354	5844.21453159752	-4998.38498048438	
1.46779930591583	6231.96685794854	-4997.94950260726	
1.35935640335083	6613.43625032657	-4968.37394347168	
1.25892543792725	6987.38061599927	-4907.5893510275	
1.16591441631317	7346.63628788669	-4820.32886737153	
1.07977521419525	7696.21014659634	-4709.3945828687	
1	7992.30894738847	-4592.14914019234	
