Frequency (Hz)	Zre (ohms)	Zim (ohms)
10000	26.18980139	-0.256260367
8912.509766	26.00076091	-0.205159492
7943.282227	26.09375193	-0.315968168
7079.458008	25.9266317	-0.234829666
6309.573242	26.37799113	-0.340721777
5623.413086	26.52203729	-0.189611092
5011.872559	26.43005491	-0.133738036
4466.835938	26.03040568	-0.252462936
3981.071777	26.02098897	-0.198512186
3548.133789	26.12378283	-0.125462632
3162.277588	26.38739549	-0.184743649
2818.382813	26.47038975	-0.222872028
2511.886475	26.43849852	-0.289969437
2238.721191	25.95656274	-0.186380792
1995.262329	25.92835075	-0.161024767
1778.279419	25.9624006	-0.148710969
1584.893188	26.08047205	-0.172947545
1412.537598	26.39221329	-0.175982854
1258.925415	26.28315975	-0.18540554
1122.018433	25.94993729	-0.186697864
1000	26.0824815	-0.19826028
891.2509155	26.3546831	-0.208005276
794.3282471	26.5570672	-0.212269515
707.9458008	26.32933056	-0.250379771
630.9573364	26.03767972	-0.315085244
562.3413086	26.50571521	-0.291944438
501.1872253	27.07392048	-0.356405823
446.6835938	26.07076527	-0.332000222
398.1071777	26.02634993	-0.38774382
354.813385	26.20480635	-0.422399909
316.2277527	26.48981715	-0.472806616
281.8382874	26.39018596	-0.554251071
251.1886444	25.98008201	-0.54360812
223.8721161	26.01178981	-0.624879361
199.5262299	26.41169332	-0.71860283
177.8279419	26.29188267	-0.800929161
158.4893188	26.06118341	-0.831731418
141.2537537	26.12211531	-0.925212559
125.89254	26.3903937	-1.006650952
112.2018433	26.30215076	-1.175504054
100	26.08039145	-1.33738917
89.12509155	26.52390644	-1.470665173
79.43282318	26.2074663	-1.657488752
70.79457855	26.51895568	-1.855753262
63.09573364	26.26316049	-1.977872689
56.23413086	26.41870359	-2.432165801
50.11872482	26.684109	-2.488472417
44.66835785	26.40226773	-2.899034206
39.81071854	26.54318962	-3.249930538
35.4813385	26.7969544	-3.514524962
31.62277603	26.30857043	-4.046382804
28.18383026	26.86854413	-4.076132176
25.11886406	26.79255982	-4.589196507
22.38721085	27.42001406	-5.744193054
19.95262337	27.19716122	-5.557596502
17.78279495	27.63078692	-5.959741594
15.84893227	27.24136593	-6.95036108
14.12537575	28.55283107	-8.856286779
12.58925438	27.73020421	-8.728820405
11.22018433	28.57587731	-9.005320203
10	28.711822	-10.50216344
8.912508965	30.16031859	-12.57200953
7.943282127	30.99522348	-11.74522114
7.07945776	32.41362172	-13.61534537
6.30957365	33.20280818	-15.16527376
5.623413086	33.9762819	-16.31962119
5.011872292	35.42562869	-17.91326914
4.466835976	37.23330113	-18.90654593
3.981071711	39.06975942	-19.3660684
3.54813385	41.02721206	-20.77813748
3.162277699	43.51710039	-21.76107882
2.818382978	45.40915524	-21.33842086
2.511886358	48.351335	-22.4033719
2.238721132	49.68552236	-23.0328899
1.995262265	52.7042614	-23.59341588
1.778279424	54.70673354	-21.83275824
1.584893227	56.52684561	-21.73754428
1.412537575	59.02727109	-19.48224107
1.258925438	61.98878124	-20.06825162
1.122018456	63.74823297	-19.06334116
1	64.8891398	-19.03178123
0.891250908	66.06925731	-16.38527326
0.794328213	67.49270631	-16.76739349
0.707945764	67.8853715	-14.89685087
0.630957365	68.68483275	-13.83817008
0.562341332	68.62354923	-12.87399225
0.501187205	69.03802697	-13.22461097
0.446683586	71.77304157	-12.96327293
0.398107171	72.35961351	-12.38122349
0.354813397	74.45195938	-11.27642891
0.316227764	74.22480179	-9.991174052
0.281838298	73.816626	-8.616079613
0.251188636	74.87867183	-8.046200683
0.22387211	75.04407157	-9.754665405
0.199526235	76.07997764	-8.903317674
0.177827939	77.51802164	-8.082588262
0.158489317	77.17021961	-7.428307037
0.141253754	75.94794813	-5.146086955
0.125892535	76.85670679	-4.802401809
0.112201847	77.0936263	-7.01786638
0.100000001	76.54015442	-5.214822956
