Frequency (Hz)	|Z| (ohms)	Phase of Z (deg)	
681.292053222656	120254.506586961	-4.93559783670362	
630.957336425781	120642.536330169	-4.88047635873415	
584.341430664063	121040.07928587	-4.86885126996698	
541.169555664063	121450.572253473	-4.92625479582498	
501.187225341797	121851.321973347	-4.81555729321937	
464.158874511719	122209.455281329	-4.83506910369339	
429.866241455078	122716.398088073	-4.89778086468107	
398.107177734375	123125.676205219	-4.84871086760037	
368.694519042969	123632.770750936	-4.95462755758003	
341.454895019531	124050.191947504	-4.97245427511161	
316.227752685547	124478.812482423	-4.98834653834365	
292.864471435547	125055.499217315	-4.99816689100381	
271.227264404297	125432.315377479	-5.01706853987269	
251.18864440918	125837.674372954	-5.02376120691915	
232.630508422852	126419.062893752	-5.1116026800818	
215.443466186523	126899.613575504	-5.14067227449832	
199.526229858398	127426.361503584	-5.22872780886494	
184.784973144531	127923.207293343	-5.23561700131916	
171.132827758789	128408.631173065	-5.23374615255893	
158.489318847656	129051.957892668	-5.36442459476069	
146.779922485352	129339.838825715	-5.27202594978689	
135.935638427734	130106.116896201	-5.4859332284209	
125.892539978027	130666.713524102	-5.52755292943123	
116.591438293457	131375.072691037	-5.69027924064294	
107.977516174316	131845.712015171	-5.67653771929784	
100	132315.414073758	-5.8006274264219	
92.6118698120117	132954.536516259	-5.81365298880339	
85.7695922851563	133589.09657909	-5.85136452910652	
79.4328231811523	134250.42434638	-6.0522162910376	
73.5642242431641	135525.93152119	-5.9791523491774	
68.1292037963867	135440.058248926	-6.14463437427025	
63.0957336425781	135745.777071939	-6.11978607524318	
58.4341430664063	137649.521393132	-6.23680235529357	
54.1169509887695	138172.544316977	-6.13554175602294	
50.118724822998	138308.205373542	-6.85783281481864	
46.4158897399902	139385.428309488	-6.92054788280793	
42.9866218566895	139619.68584181	-6.36860027632857	
39.810718536377	141054.807002168	-6.56982094525285	
36.8694496154785	140851.812084657	-6.91190842239207	
34.1454887390137	142475.073525436	-6.98702415070549	
31.6227760314941	143007.110251571	-6.9791190141719	
29.2864456176758	143618.009681881	-7.16295577267736	
27.1227264404297	144985.799351168	-7.39558235663082	
25.1188640594482	145676.240614525	-7.45229252872814	
23.2630500793457	146705.471235631	-7.49726498760258	
21.5443477630615	147683.465709483	-7.77764057301129	
19.9526233673096	148564.055066505	-7.89670495438563	
