Frequency (Hz)	Zre (ohms)	Zim (ohms)
2.511884212	126.973877	-37.24713898
2.326303244	128.3878784	-38.4238472
2.15443325	129.7511749	-39.66784668
1.995260954	131.1438904	-40.86680222
1.847848773	132.6554718	-42.1361618
1.711327434	134.1630249	-43.45269775
1.584892511	135.717514	-44.87756729
1.46779871	137.2807007	-46.23759842
1.359355927	139.146225	-47.55672455
1.25892508	140.822052	-49.09653854
1.165914297	142.713501	-50.73429871
1.079774976	144.6003723	-52.56616974
0.999998868	146.6287079	-54.38640594
0.926117837	148.7786865	-56.61523056
0.857695043	150.9435577	-58.73376083
0.794327557	153.1009521	-61.09185791
0.735641658	155.3150635	-63.70987701
0.68129158	157.7757874	-66.3582077
0.630956948	160.3037567	-69.08146667
0.584341049	162.8235474	-72.15493011
0.541169286	165.1967773	-75.13685608
0.501187027	167.745697	-78.32835388
0.464158714	170.4734497	-81.70584869
0.429866135	173.1293335	-85.32608795
0.398107082	175.9414978	-89.11937714
0.368694454	179.296524	-93.39360809
0.341454476	182.3986969	-97.5508194
0.316227406	185.7734222	-102.0281982
0.292864174	189.0576935	-106.6635437
0.271227002	193.117981	-111.6423187
0.251188427	197.1685638	-116.6587448
0.232630327	201.2176666	-122.5165024
0.215443313	205.9397888	-128.4374542
0.199526101	210.4398041	-134.2207336
0.184784874	215.1871796	-140.8338776
0.171132743	219.8642273	-147.5968018
0.158489257	225.3387451	-154.6099854
0.146779865	231.0477753	-162.2860565
0.135935605	236.9151001	-170.5177917
0.125892505	243.7543793	-178.5819397
0.116591297	250.4659576	-187.9389801
0.10797739	257.625946	-197.7736816
0.09999989	265.7259216	-207.4916229
