Frequency (Hz)	Zre (ohms)	Zim (ohms)	
107.977447509766	62.9437789916992	-22.6042900085449	
99.9999465942383	64.2414245605469	-21.9769248962402	
92.6118316650391	65.4104995727539	-21.3655796051025	
85.7695617675781	66.5276336669922	-20.8044605255127	
79.4328002929688	67.591194152832	-20.2340087890625	
73.5642013549805	68.6054458618164	-19.5930137634277	
68.1291885375977	69.5018463134766	-18.9455070495605	
63.0956954956055	70.3848037719727	-18.3716049194336	
58.4341049194336	71.2435302734375	-17.6726665496826	
54.1169242858887	72.0597229003906	-17.1314315795898	
50.1186981201172	72.7767868041992	-16.597843170166	
46.4158706665039	73.4192962646484	-16.0444164276123	
42.9866104125977	74.0722732543945	-15.5028696060181	
39.8107070922852	74.6610260009766	-15.034065246582	
36.8694458007813	75.2109069824219	-14.5447511672974	
34.1454696655273	75.7146682739258	-14.1328582763672	
31.6227588653564	76.2424163818359	-13.7303247451782	
29.2864303588867	76.651008605957	-13.3000221252441	
27.1227149963379	77.077880859375	-13.0059223175049	
25.1188545227051	77.4910507202148	-12.7448406219482	
23.2630443572998	77.9406585693359	-12.4659013748169	
21.5443439483643	78.3057174682617	-12.2115335464478	
19.9526100158691	78.6052780151367	-11.9821681976318	
18.4784870147705	78.9579925537109	-11.9182500839233	
17.1132736206055	79.2975997924805	-11.7856464385986	
15.8489246368408	79.5386810302734	-11.742413520813	
14.6779870986938	79.9641265869141	-11.7031803131104	
13.5935592651367	80.2187042236328	-11.7372264862061	
12.5892515182495	80.5376739501953	-11.7110328674316	
11.6591358184814	80.8841934204102	-11.8865432739258	
10.7977447509766	81.133171081543	-12.0220470428467	
10	81.4896011352539	-12.1022863388062	
9.2611780166626	81.9011459350586	-12.3968820571899	
8.57695007324219	82.2134399414063	-12.7506942749023	
7.943274974823	82.4515075683594	-12.9765844345093	
7.35641670227051	82.9187622070313	-13.2859630584717	
6.81291580200195	83.3024520874023	-13.800745010376	
6.30956935882568	83.5822601318359	-14.17116355896	
5.84341049194336	84.1099853515625	-14.5958957672119	
5.41169261932373	84.6842193603516	-15.2101011276245	
5.01187038421631	85.1807403564453	-15.9124326705933	
4.64158725738525	85.5630264282227	-16.537540435791	
4.29866123199463	86.1324234008789	-17.0882911682129	
3.98107075691223	86.8982772827148	-17.6902008056641	
3.68694448471069	87.6516723632813	-18.6068286895752	
3.41454863548279	88.2940902709961	-19.4231777191162	
3.16227769851685	89.0368347167969	-20.2192192077637	
2.92864155769348	89.8561019897461	-20.9423408508301	
2.7122700214386	90.8737716674805	-21.6270427703857	
2.5118842124939	91.9371795654297	-22.4958896636963	
2.32630324363709	93.1589279174805	-23.4671897888184	
2.15443325042725	94.4092864990234	-24.54762840271	
1.9952609539032	95.6840362548828	-25.5215034484863	
1.84784877300262	96.9925308227539	-26.5505752563477	
1.71132743358612	98.0898284912109	-27.5318050384521	
1.5848925113678	99.5448684692383	-28.4264602661133	
1.46779870986938	101.131866455078	-29.4242458343506	
1.35935592651367	102.694915771484	-30.2163219451904	
1.25892508029938	104.335906982422	-31.0410804748535	
1.16591429710388	105.977836608887	-31.6925830841064	
1.07977497577667	107.884483337402	-32.410945892334	
0.999998867511749	109.713562011719	-32.9220390319824	
0.926117837429047	111.668098449707	-33.3350868225098	
0.857695043087006	113.65941619873	-33.9078712463379	
0.794327557086945	115.710067749023	-34.2511215209961	
0.735641658306122	117.611831665039	-34.571102142334	
0.681291580200195	119.732681274414	-34.8190383911133	
0.630956947803497	121.717094421387	-35.1989059448242	
0.584341049194336	123.773735046387	-35.4016265869141	
0.541169285774231	125.755401611328	-35.3702087402344	
0.501187026500702	127.632843017578	-35.5246276855469	
0.464158713817596	129.605850219727	-35.4225997924805	
0.429866135120392	131.439575195313	-35.4325294494629	
0.398107081651688	133.296234130859	-35.4540328979492	
0.368694454431534	135.110092163086	-35.3017387390137	
0.341454476118088	136.988952636719	-35.1654777526855	
0.316227406263351	138.554962158203	-35.1994285583496	
0.292864173650742	140.221206665039	-35.0395393371582	
0.27122700214386	141.831161499023	-34.9005699157715	
